login,logout,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,d4_q1,d4_q2,d4_q3,d5_q1,d5_q2,d5_q3,a_q1_t1,a_q1_t2,a_q2_t1,a_q2_t2,a_q3_t1,a_q3_t2,drop
4,2,10,10,7,7,7,7,0,0,0,0,0,0,0,0,0,8.5,8.5,7,3.4,3.4,2.8,drop
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
2,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,4,4,4,drop
2,2,10,10,7,10,7,5,0,0,0,0,0,0,0,0,0,10,8.5,6,4,3.4,2.4,drop
1,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,2,1,1,drop
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
4,3,10,10,7,7,10,7,7,10,7,0,0,0,0,0,0,8,10,7,4.8,6,4.2,drop
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
5,5,10,10,5,10,10,5,10,10,5,10,10,5,10,10,7,10,10,5.4,10,10,5.4,drop
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
5,3,10,10,7,0,0,0,10,10,7,7,7,7,7,10,7,8.5,9.25,7,6.8,7.4,5.6,drop
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
2,2,10,7,5,10,10,0,0,0,0,0,0,0,0,0,0,10,8.5,2.5,4,3.4,1,drop
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
